time_open_sec,time_close_sec,open,high,low,close,rsi14,dow
1704157200,1704160800,2064.17000000,2075.45000000,2063.12000000,2063.65000000,43.114870,2
1704160800,1704164400,2063.68000000,2065.85000000,2062.26000000,2065.49000000,46.836765,2
1704164400,1704168000,2065.38000000,2069.88000000,2064.90000000,2066.50000000,48.816396,2
1704168000,1704171600,2066.51000000,2068.38000000,2063.94000000,2067.85000000,51.420300,2
1704171600,1704175200,2067.82000000,2070.37000000,2066.48000000,2069.66000000,54.744555,2
1704175200,1704178800,2069.67000000,2070.69000000,2068.93000000,2069.66000000,54.744555,2
1704178800,1704182400,2069.71000000,2074.82000000,2069.52000000,2074.46000000,62.613049,2
1704182400,1704186000,2074.54000000,2076.73000000,2072.95000000,2074.18000000,61.936547,2
1704186000,1704189600,2074.10000000,2076.40000000,2073.15000000,2073.16000000,59.418004,2
1704189600,1704193200,2073.20000000,2074.50000000,2071.79000000,2073.30000000,59.660467,2
1704193200,1704196800,2073.31000000,2078.88000000,2073.25000000,2077.02000000,65.550235,2
1704196800,1704200400,2077.04000000,2077.75000000,2073.46000000,2075.97000000,62.764668,2
1704200400,1704204000,2075.93000000,2076.16000000,2068.26000000,2069.21000000,48.480664,2
1704204000,1704207600,2069.18000000,2069.47000000,2065.04000000,2067.88000000,46.250481,2
1704207600,1704211200,2067.84000000,2071.11000000,2064.81000000,2066.31000000,43.695201,2
1704211200,1704214800,2066.35000000,2070.42000000,2062.17000000,2070.42000000,51.283209,2
1704214800,1704218400,2070.36000000,2070.72000000,2055.85000000,2059.29000000,36.814273,2
1704218400,1704222000,2059.38000000,2067.60000000,2059.10000000,2066.07000000,46.682716,2
1704222000,1704225600,2066.13000000,2066.92000000,2061.80000000,2062.65000000,43.031812,2
1704225600,1704229200,2062.66000000,2064.92000000,2060.57000000,2061.15000000,41.498854,2
1704229200,1704232800,2061.14000000,2062.15000000,2060.43000000,2060.94000000,41.277156,2
1704232800,1704236400,2060.97000000,2061.58000000,2057.91000000,2058.23000000,38.424375,2
1704236400,1704240000,2058.31000000,2059.20000000,2057.98000000,2058.84000000,39.438980,2
1704243600,1704247200,2059.15000000,2060.03000000,2058.62000000,2059.57000000,40.698291,3
1704247200,1704250800,2059.60000000,2062.14000000,2059.23000000,2060.19000000,41.805115,3
1704250800,1704254400,2060.21000000,2062.54000000,2059.48000000,2062.40000000,45.695831,3
1704254400,1704258000,2062.46000000,2065.13000000,2061.61000000,2064.71000000,49.496586,3
1704258000,1704261600,2064.70000000,2065.57000000,2063.26000000,2065.10000000,50.131190,3
1704261600,1704265200,2065.05000000,2065.55000000,2064.40000000,2064.79000000,49.597701,3
1704265200,1704268800,2064.76000000,2065.94000000,2063.46000000,2064.03000000,48.242256,3
1704268800,1704272400,2064.04000000,2065.32000000,2063.42000000,2064.28000000,48.738531,3
1704272400,1704276000,2064.26000000,2064.30000000,2060.86000000,2062.96000000,46.218634,3
1704276000,1704279600,2062.90000000,2064.34000000,2058.80000000,2060.11000000,41.258644,3
1704279600,1704283200,2060.09000000,2060.55000000,2054.34000000,2056.82000000,36.402114,3
1704283200,1704286800,2056.84000000,2057.14000000,2052.65000000,2054.85000000,33.833971,3
1704286800,1704290400,2054.83000000,2055.61000000,2046.71000000,2047.56000000,26.409058,3
1704290400,1704294000,2047.59000000,2048.34000000,2041.78000000,2045.72000000,24.922425,3
1704294000,1704297600,2045.66000000,2047.98000000,2038.71000000,2040.99000000,21.562176,3
1704297600,1704301200,2041.07000000,2042.29000000,2031.73000000,2037.78000000,19.628042,3
1704301200,1704304800,2037.13000000,2048.79000000,2031.79000000,2032.56000000,16.963303,3
1704304800,1704308400,2032.62000000,2036.00000000,2031.33000000,2032.39000000,16.882916,3
1704308400,1704312000,2032.44000000,2033.75000000,2030.58000000,2033.33000000,19.164025,3
1704312000,1704315600,2033.34000000,2036.28000000,2032.89000000,2035.78000000,24.945708,3
1704315600,1704319200,2035.75000000,2042.31000000,2030.59000000,2036.63000000,26.899189,3
1704319200,1704322800,2036.57000000,2042.31000000,2036.47000000,2041.10000000,36.290217,3
1704322800,1704326400,2041.25000000,2041.79000000,2040.31000000,2041.35000000,36.779395,3
1704330000,1704333600,2041.49000000,2043.87000000,2041.45000000,2042.96000000,39.975770,4
1704333600,1704337200,2042.93000000,2043.16000000,2041.56000000,2042.12000000,38.871517,4
1704337200,1704340800,2042.13000000,2043.29000000,2040.09000000,2042.19000000,39.022679,4
1704340800,1704344400,2042.20000000,2044.73000000,2042.20000000,2044.62000000,44.182812,4
1704344400,1704348000,2044.71000000,2046.94000000,2044.15000000,2044.66000000,44.266420,4
1704348000,1704351600,2044.65000000,2044.66000000,2042.39000000,2042.98000000,41.457636,4
1704351600,1704355200,2043.03000000,2044.29000000,2042.36000000,2043.79000000,43.324862,4
1704355200,1704358800,2043.78000000,2048.59000000,2043.62000000,2047.22000000,50.521608,4
1704358800,1704362400,2047.23000000,2049.53000000,2046.50000000,2047.73000000,51.507610,4
1704362400,1704366000,2047.72000000,2048.62000000,2045.34000000,2046.75000000,49.467639,4
1704366000,1704369600,2046.71000000,2050.93000000,2046.28000000,2047.95000000,51.975785,4
1704369600,1704373200,2047.96000000,2050.82000000,2046.61000000,2047.93000000,51.929522,4
1704373200,1704376800,2047.92000000,2048.39000000,2044.87000000,2045.12000000,45.765938,4
1704376800,1704380400,2045.10000000,2046.17000000,2043.30000000,2046.01000000,47.876140,4
1704380400,1704384000,2046.05000000,2047.22000000,2038.81000000,2040.22000000,37.620744,4
1704384000,1704387600,2040.25000000,2042.51000000,2036.21000000,2039.31000000,36.304486,4
1704387600,1704391200,2039.35000000,2047.67000000,2039.07000000,2045.19000000,48.775738,4
1704391200,1704394800,2045.20000000,2046.75000000,2044.08000000,2044.73000000,47.984213,4
1704394800,1704398400,2044.74000000,2045.00000000,2040.81000000,2043.23000000,45.397146,4
1704398400,1704402000,2043.16000000,2043.99000000,2041.50000000,2043.12000000,45.204669,4
1704402000,1704405600,2043.09000000,2044.83000000,2042.43000000,2044.30000000,47.763256,4
1704405600,1704409200,2044.33000000,2044.79000000,2043.00000000,2043.12000000,45.476457,4
1704409200,1704412800,2043.32000000,2044.28000000,2043.07000000,2043.40000000,46.135476,4
1704416400,1704420000,2043.84000000,2044.72000000,2042.70000000,2044.23000000,48.136623,5
1704420000,1704423600,2044.25000000,2044.71000000,2043.23000000,2044.30000000,48.311036,5
1704423600,1704427200,2044.31000000,2048.26000000,2044.03000000,2046.12000000,52.759315,5
1704427200,1704430800,2046.13000000,2047.82000000,2045.65000000,2046.14000000,52.807378,5
1704430800,1704434400,2046.12000000,2046.42000000,2044.78000000,2045.32000000,50.537124,5
1704434400,1704438000,2045.30000000,2046.39000000,2044.49000000,2044.60000000,48.562937,5
1704438000,1704441600,2044.57000000,2045.21000000,2043.11000000,2044.46000000,48.168912,5
1704441600,1704445200,2044.47000000,2045.10000000,2040.82000000,2042.47000000,42.847194,5
1704445200,1704448800,2042.44000000,2046.99000000,2042.05000000,2043.13000000,45.016846,5
1704448800,1704452400,2043.21000000,2044.40000000,2041.38000000,2042.41000000,43.094855,5
1704452400,1704456000,2042.37000000,2043.73000000,2038.41000000,2038.89000000,35.185593,5
1704456000,1704459600,2038.86000000,2040.26000000,2037.36000000,2040.00000000,38.988266,5
1704459600,1704463200,2039.97000000,2040.31000000,2037.07000000,2039.16000000,37.209134,5
1704463200,1704466800,2039.18000000,2040.97000000,2038.40000000,2040.20000000,40.810424,5
1704466800,1704470400,2040.12000000,2041.87000000,2024.41000000,2039.94000000,40.189837,5
1704470400,1704474000,2039.95000000,2049.20000000,2038.73000000,2046.73000000,58.106557,5
1704474000,1704477600,2047.30000000,2063.96000000,2047.10000000,2054.84000000,69.758970,5
1704477600,1704481200,2054.86000000,2056.22000000,2044.11000000,2045.04000000,51.219571,5
1704481200,1704484800,2045.03000000,2045.40000000,2040.44000000,2041.97000000,47.005149,5
1704484800,1704488400,2041.95000000,2048.48000000,2040.48000000,2048.15000000,55.027221,5
1704488400,1704492000,2048.18000000,2050.33000000,2044.89000000,2045.70000000,51.686846,5
1704492000,1704495600,2045.72000000,2045.74000000,2042.83000000,2043.61000000,48.956648,5
1704495600,1704499200,2043.71000000,2046.13000000,2043.71000000,2045.54000000,51.504150,5
1704675600,1704679200,2045.17000000,2045.66000000,2042.96000000,2044.23000000,49.691330,1
1704679200,1704682800,2044.26000000,2046.26000000,2043.71000000,2046.01000000,52.155538,1
1704682800,1704686400,2045.89000000,2046.57000000,2042.80000000,2043.76000000,48.895303,1
1704686400,1704690000,2043.77000000,2043.78000000,2041.17000000,2041.27000000,45.505214,1
1704690000,1704693600,2041.26000000,2041.47000000,2035.07000000,2036.13000000,39.428089,1
1704693600,1704697200,2036.11000000,2037.60000000,2035.61000000,2035.76000000,39.024078,1
1704697200,1704700800,2035.72000000,2036.09000000,2027.00000000,2030.74000000,33.942305,1
1704700800,1704704400,2030.67000000,2033.26000000,2030.34000000,2032.90000000,37.701500,1
1704704400,1704708000,2032.92000000,2033.15000000,2028.64000000,2031.36000000,36.123131,1
1704708000,1704711600,2031.25000000,2031.72000000,2027.28000000,2028.28000000,33.135304,1
1704711600,1704715200,2028.22000000,2031.71000000,2026.49000000,2029.07000000,34.628846,1
1704715200,1704718800,2029.06000000,2029.47000000,2026.94000000,2027.55000000,33.097016,1
1704718800,1704722400,2027.54000000,2027.86000000,2016.73000000,2020.06000000,26.804749,1
1704722400,1704726000,2020.07000000,2024.85000000,2018.88000000,2024.58000000,34.853866,1
1704726000,1704729600,2024.56000000,2025.46000000,2018.36000000,2018.97000000,30.387364,1
1704729600,1704733200,2018.89000000,2027.19000000,2018.47000000,2026.44000000,41.193792,1
1704733200,1704736800,2026.39000000,2034.79000000,2025.53000000,2034.17000000,49.866686,1
1704736800,1704740400,2034.21000000,2036.84000000,2031.39000000,2032.17000000,47.898361,1
1704740400,1704744000,2032.16000000,2033.03000000,2027.03000000,2027.61000000,43.666298,1
1704744000,1704747600,2027.54000000,2028.25000000,2026.34000000,2026.54000000,42.712643,1
1704747600,1704751200,2026.53000000,2029.57000000,2026.50000000,2029.34000000,46.034063,1
1704751200,1704754800,2029.35000000,2029.80000000,2026.09000000,2027.16000000,43.899974,1
